match_id,competition_id,match_date,home_team_id,away_team_id,home_goals,away_goals,season
9736,11,2017-12-23,220,217,0,3,2017/2018
9742,11,2018-01-07,217,221,3,0,2017/2018
9754,11,2018-01-14,210,217,2,4,2017/2018
9765,11,2018-01-21,218,217,0,5,2017/2018
9774,11,2018-01-28,217,206,2,1,2017/2018
9783,11,2018-02-04,214,217,1,1,2017/2018
9794,11,2018-02-11,217,216,0,0,2017/2018
9799,11,2018-02-17,322,217,0,2,2017/2018
9811,11,2018-02-24,217,211,6,1,2017/2018
9827,11,2018-03-01,208,217,1,1,2017/2018
9837,11,2018-03-04,217,212,1,0,2017/2018
9855,11,2018-03-18,217,215,2,0,2017/2018
9860,11,2018-03-31,213,217,2,2,2017/2018
9870,11,2018-04-07,217,205,3,1,2017/2018
9880,11,2018-04-14,217,207,2,1,2017/2018
9889,11,2018-04-17,209,217,2,2,2017/2018
9912,11,2018-04-29,219,217,2,4,2017/2018
9924,11,2018-05-06,217,220,2,2,2017/2018
9928,11,2018-05-09,217,222,5,1,2017/2018
9948,11,2018-05-20,217,210,1,0,2017/2018
15946,11,2018-08-18,217,206,3,0,2018/2019
15956,11,2018-08-25,901,217,0,1,2018/2019
15973,11,2018-09-02,217,902,8,2,2018/2019
15978,11,2018-09-15,210,217,1,2,2018/2019
15986,11,2018-09-23,217,211,2,2,2018/2019
15998,11,2018-09-26,205,217,2,1,2018/2019
16010,11,2018-09-29,217,215,1,1,2018/2019
16023,11,2018-10-07,207,217,1,1,2018/2019
16029,11,2018-10-20,217,213,4,2,2018/2019
16056,11,2018-11-11,217,218,3,4,2018/2019
16073,11,2018-11-24,212,217,1,1,2018/2019
16079,11,2018-12-02,217,222,2,0,2018/2019
16086,11,2018-12-08,214,217,0,4,2018/2019
16095,11,2018-12-16,221,217,0,5,2018/2019
16109,11,2018-12-22,217,209,2,0,2018/2019
16120,11,2019-01-06,216,217,1,2,2018/2019
16131,11,2019-01-13,217,322,3,0,2018/2019
16136,11,2019-01-20,217,205,3,1,2018/2019
16149,11,2019-01-27,211,217,0,2,2018/2019
16157,11,2019-02-02,217,207,2,2,2018/2019
16173,11,2019-02-10,215,217,0,0,2018/2019
16182,11,2019-02-16,217,901,1,0,2018/2019
16190,11,2019-02-23,213,217,2,4,2018/2019
16196,11,2019-03-02,220,217,0,1,2018/2019
16205,11,2019-03-09,217,360,3,1,2018/2019
16215,11,2019-03-17,218,217,1,4,2018/2019
16231,11,2019-03-30,217,214,2,0,2018/2019
16240,11,2019-04-02,222,217,4,4,2018/2019
16248,11,2019-04-06,217,212,2,0,2018/2019
16265,11,2019-04-20,217,210,2,1,2018/2019
16275,11,2019-04-23,206,217,0,2,2018/2019
16289,11,2019-04-27,217,221,1,0,2018/2019
16306,11,2019-05-12,217,216,2,0,2018/2019
16317,11,2019-05-19,322,217,2,2,2018/2019
18235,16,2010-05-22,169,238,0,2,2009/2010
18236,16,2011-05-28,217,39,3,1,2010/2011
18237,16,2012-05-19,169,33,1,1,2011/2012
18240,16,2013-05-25,180,169,1,2,2012/2013
18241,16,2014-05-24,220,212,4,1,2013/2014
18242,16,2015-06-06,224,217,1,3,2014/2015
18243,16,2016-05-28,220,212,1,1,2015/2016
18244,16,2017-06-03,224,220,1,4,2016/2017
18245,16,2018-05-26,220,24,3,1,2017/2018
19714,37,2018-09-09,971,746,0,0,2018/2019
19715,37,2018-09-09,965,973,0,1,2018/2019
19716,37,2018-09-09,974,970,4,0,2018/2019
19717,37,2018-09-09,968,966,5,0,2018/2019
19718,37,2018-09-09,969,967,1,0,2018/2019
19719,37,2018-09-19,972,974,0,0,2018/2019
19720,37,2018-09-19,973,971,0,0,2018/2019
19722,37,2018-09-19,970,968,0,7,2018/2019
19723,37,2018-09-20,967,746,0,4,2018/2019
19724,37,2018-09-23,968,972,4,3,2018/2019
19725,37,2018-09-23,965,966,0,1,2018/2019
19726,37,2018-09-23,967,971,0,0,2018/2019
19727,37,2018-09-23,974,969,0,1,2018/2019
19728,37,2018-09-23,746,973,2,2,2018/2019
19729,37,2019-03-24,973,967,1,0,2018/2019
19730,37,2018-09-30,971,965,2,0,2018/2019
19731,37,2018-09-30,972,970,2,1,2018/2019
19732,37,2018-09-30,966,974,0,1,2018/2019
19733,37,2018-09-30,969,746,2,3,2018/2019
19734,37,2018-10-14,967,965,3,3,2018/2019
19735,37,2018-10-14,746,972,7,1,2018/2019
19736,37,2018-10-14,971,968,0,5,2018/2019
19737,37,2018-10-14,966,970,2,1,2018/2019
19738,37,2018-10-14,973,969,0,1,2018/2019
19739,37,2018-10-21,965,746,0,6,2018/2019
19740,37,2018-10-21,972,966,0,1,2018/2019
19741,37,2018-10-21,968,974,6,0,2018/2019
19742,37,2018-10-21,970,973,1,2,2018/2019
19743,37,2018-10-21,969,971,0,0,2018/2019
19744,37,2018-10-28,973,968,0,4,2018/2019
19745,37,2018-10-28,965,970,2,1,2018/2019
19746,37,2018-10-28,967,972,1,2,2018/2019
19747,37,2018-10-26,746,974,1,1,2018/2019
19748,37,2018-10-28,971,966,1,0,2018/2019
