team_id,team_name,country,stadium
183,Freiburg,Germany,Europa-Park Stadion
184,Eintracht Frankfurt,Germany,Deutsche Bank Park
185,Borussia Monchengladbach,Germany,Stadion im BORUSSIA-PARK
186,FC Koln,Germany,RheinEnergieStadion
189,Ingolstadt,Germany,Audi-Sportpark
190,Union Berlin,Germany,Stadion An der Alten Forsterei
201,FC Heidenheim,Germany,Voith-Arena
205,Leganes,Spain,Estadio Municipal de Butarque
206,Deportivo Alaves,Spain,Estadio de Mendizorroza
207,Valencia,Spain,Estadio de Mestalla
208,Las Palmas,Spain,Estadio de Gran Canaria
209,Celta Vigo,Spain,Abanca-Balaidos
210,Real Sociedad,Spain,Reale Arena
211,Girona,Spain,Estadi Municipal de Montilivi
212,Atletico Madrid,Spain,Estadio Vicente Calderon
213,Sevilla,Spain,Estadio Ramon Sanchez Pizjuan
214,Espanyol,Spain,Stage Front Stadium
215,Athletic Club,Spain,San Mames Barria
216,Getafe,Spain,Coliseum Alfonso Perez
217,Barcelona,Spain,Spotify Camp Nou
218,Real Betis,Spain,Estadio Benito Villamarin
219,RC Deportivo La Coruna,Spain,Estadio Abanca-Riazor
220,Real Madrid,Spain,Bernabeu
221,Levante UD,Spain,Estadio Ciudad de Valencia
222,Villarreal,Spain,Estadio de la Ceramica
223,Malaga,Spain,Estadio La Rosaleda
224,Juventus,Italy,Allianz Stadium
226,Hellas Verona,Italy,Stadio Marc'Antonio Bentegodi
227,Napoli,Italy,Stadio Diego Armando Maradona
228,Atalanta,Italy,New Balance Arena
229,AS Roma,Italy,Estadio Olimpico
230,Udinese,Italy,Stadio Friuli
231,Chievo,Italy,Stadio Marc'Antonio Bentegodi
232,Sassuolo,Italy,MAPEI Stadium - Citta del Tricolore
233,Genoa,Italy,Stadio Comunale Luigi Ferraris
234,Sampdoria,Italy,Stadio Comunale Luigi Ferraris
236,Lazio,Italy,Estadio Olimpico
238,Inter Milan,Italy,Stadio Giuseppe Meazza
239,Fiorentina,Italy,Stadio Artemio Franchi
240,Bologna,Italy,Stadio Renato Dall''Ara
241,Torino,Italy,Stadio Olimpico Grande Torino
243,AC Milan,Italy,Stadio Giuseppe Meazza
256,FC Porto,Portugal,VELTINS-Arena
290,Empoli,Italy,Stadio Carlo Castellani
291,Frosinone,Italy,Stadio Comunale Matusa
322,Eibar,Spain,Estadio Municipal de Ipurua
328,Bolton Wanderers,England,Toughsheet Community Stadium
360,Rayo Vallecano,Spain,Estadio de Vallecas
373,Cordoba CF,Spain,Estadio Nuevo Arcangel
387,New York Red Bulls,United States of America,Sports Illustrated Stadium
395,Real Zaragoza,Spain,Estadio de la Romareda
403,Almeria,Spain,Power Horse Stadium  Estadio de los Juegos Mediterraneos
422,Osasuna,Spain,Estadio El Sadar
444,CD Numancia de Soria,Spain,Los Pajaritos
488,Seattle Sounders,United States of America,Providence Park
489,Cincinnati,United States of America,Chase Stadium
552,Cadiz,Spain,Estadio Nuevo Mirandilla
575,Toronto FC,Canada,Chase Stadium
608,Albacete,Spain,Estadio Carlos Belmonte
